city,state,10th,25th,50th,75th,90th,date,region
Orange,CA,56187.0,64447.0,73521.0,83972.0,93488.0,"June 26, 2023",West
Oxnard,CA,54020.0,61962.0,70686.0,80734.0,89883.0,"June 26, 2023",West
Palmdale,CA,55995.0,64228.0,73270.0,83686.0,93170.0,"June 26, 2023",West
Pasadena,CA,56575.0,64893.0,74029.0,84552.0,94134.0,"June 26, 2023",West
Petaluma,CA,56499.0,64806.0,73930.0,84439.0,94008.0,"June 26, 2023",West
Pomona,CA,55976.0,64206.0,73245.0,83658.0,93138.0,"June 26, 2023",West
Rancho Cucamonga,CA,53645.0,61533.0,70196.0,80174.0,89260.0,"June 26, 2023",West
Rialto,CA,53684.0,61577.0,70246.0,80232.0,89324.0,"June 26, 2023",West
Riverside,CA,53909.0,61835.0,70540.0,80568.0,89698.0,"June 26, 2023",West
Roseville,CA,54428.0,62430.0,71220.0,81344.0,90562.0,"June 26, 2023",West
Sacramento,CA,54569.0,62592.0,71404.0,81555.0,90797.0,"June 26, 2023",West
Salinas,CA,55831.0,64039.0,73055.0,83441.0,92896.0,"June 26, 2023",West
San Bernardino,CA,53684.0,61577.0,70246.0,80232.0,89324.0,"June 26, 2023",West
San Diego,CA,54381.0,62376.0,71158.0,81273.0,90483.0,"June 26, 2023",West
San Francisco,CA,62990.0,72251.0,82422.0,94140.0,104807.0,"June 26, 2023",West
San Jose,CA,63241.0,72540.0,82752.0,94516.0,105227.0,"June 26, 2023",West
Santa Ana,CA,56237.0,64505.0,73587.0,84048.0,93572.0,"June 26, 2023",West
Santa Barbara,CA,54282.0,62263.0,71028.0,81126.0,90319.0,"June 26, 2023",West
Santa Clara,CA,63241.0,72540.0,82752.0,94516.0,105227.0,"June 26, 2023",West
Santa Clarita,CA,55848.0,64059.0,73078.0,83466.0,92925.0,"June 26, 2023",West
Santa Cruz,CA,56051.0,64291.0,73343.0,83769.0,93262.0,"June 26, 2023",West
Santa Maria,CA,54690.0,62730.0,71562.0,81735.0,90997.0,"June 26, 2023",West
Santa Rosa,CA,55693.0,63881.0,72875.0,83234.0,92666.0,"June 26, 2023",West
Simi Valley,CA,55063.0,63159.0,72050.0,82293.0,91618.0,"June 26, 2023",West
Stockton,CA,53854.0,61771.0,70468.0,80486.0,89606.0,"June 26, 2023",West
Temecula,CA,54201.0,62170.0,70922.0,81004.0,90184.0,"June 26, 2023",West
