city,state,10th,25th,50th,75th,90th,date
Fairfield,CT,57245,65661,74906,85554,95249,"June 26, 2023"
Greenwich,CT,57989,66514,75879,86666,96486,"June 26, 2023"
Hamden,CT,54609,62638,71457,81615,90864,"June 26, 2023"
Hartford,CT,54564,62586,71398,81547,90788,"June 26, 2023"
Manchester,CT,54564,62586,71398,81547,90788,"June 26, 2023"
Meriden,CT,54423,62425,71214,81337,90554,"June 26, 2023"
Milford,CT,57245,65661,74906,85554,95249,"June 26, 2023"
New Britain,CT,54423,62425,71214,81337,90554,"June 26, 2023"
New Haven,CT,54609,62638,71457,81615,90864,"June 26, 2023"
New London,CT,53702,61598,70270,80260,89355,"June 26, 2023"
Norwalk,CT,57989,66514,75879,86666,96486,"June 26, 2023"
Norwich,CT,53833,61748,70442,80455,89573,"June 26, 2023"
Stamford,CT,57989,66514,75879,86666,96486,"June 26, 2023"
Stratford,CT,57245,65661,74906,85554,95249,"June 26, 2023"
Waterbury,CT,54323,62309,71082,81187,90387,"June 26, 2023"
West Hartford,CT,54564,62586,71398,81547,90788,"June 26, 2023"
West Haven,CT,54609,62638,71457,81615,90864,"June 26, 2023"
Washington,DC,56096,64343,73402,83837,93337,"June 26, 2023"
Bear,DE,52851,60621,69156,78987,87938,"June 26, 2023"
Delaware City,DE,52871,60644,69182,79017,87971,"June 26, 2023"
Dover,DE,53053,60853,69420,79289,88274,"June 26, 2023"
Harrington,DE,53319,61159,69769,79687,88717,"June 26, 2023"
Lewes,DE,53319,61159,69769,79687,88717,"June 26, 2023"
Middletown,DE,52878,60653,69192,79028,87984,"June 26, 2023"
Milford,DE,53319,61159,69769,79687,88717,"June 26, 2023"
New Castle,DE,52911,60690,69235,79077,88038,"June 26, 2023"
Newark,DE,52871,60644,69182,79017,87971,"June 26, 2023"
Rehoboth Beach,DE,53522,61392,70035,79991,89055,"June 26, 2023"
Seaford,DE,52435,60144,68612,78366,87246,"June 26, 2023"
